SampleName,Location,ColonyID,#mapped,#unmapped,%mapped,denom,depth
AHP22-1_S38_allchrs_DoC.sample_summary:AHP22-1_S38,Palau,,182033142,133600046,57.67237063,,41.49
AHP22-2_S54_allchrs_DoC.sample_summary:AHP22-2_S54,Palau,,184149302,130909394,58.44920465,,42.02
AHP23_S83_allchrs_DoC.sample_summary:AHP23_S83,Palau,,161687184,104504513,60.74088179,,37.93
AHP24_S84_allchrs_DoC.sample_summary:AHP24_S84,Palau,,203546304,144142791,58.54261952,,46.05
AHP25_S85_allchrs_DoC.sample_summary:AHP25_S85,Palau,,162434651,122219926,57.06377628,,37.01
AHE01-1_S1_allchrs_DoC.sample_summary:AHE01-1_S1,Enewetak,,39091997,113795058,25.56920009,,7.02
AHE01-2_S17_allchrs_DoC.sample_summary:AHE01-2_S17,Enewetak,,25523738,64966638,28.20602491,,4.93
AHE02-1_S2_allchrs_DoC.sample_summary:AHE02-1_S2,Enewetak,,82190803,126407727,39.40142963,,15.85
AHE02-2_S18_allchrs_DoC.sample_summary:AHE02-2_S18,Enewetak,,77205054,121645205,38.82572464,,14.59
AHE05-1_S3_allchrs_DoC.sample_summary:AHE05-1_S3,Enewetak,,10999972,195723548,5.321103278,,1.91
AHE05-2_S19_allchrs_DoC.sample_summary:AHE05-2_S19,Enewetak,,9739146,190740099,4.857932301,,1.71
AHE06-1_S4_allchrs_DoC.sample_summary:AHE06-1_S4,Enewetak,,3932740,189053030,2.03783937,,0.71
AHE06-2_S20_allchrs_DoC.sample_summary:AHE06-2_S20,Enewetak,,4175722,203035817,2.015197619,,0.77
AHE07-1_S5_allchrs_DoC.sample_summary:AHE07-1_S5,Enewetak,,39468862,85448010,31.59610177,,6.85
AHE07-2_S21_allchrs_DoC.sample_summary:AHE07-2_S21,Enewetak,,24547616,50254806,32.81660586,,4.68
AHE08-1_S6_allchrs_DoC.sample_summary:AHE08-1_S6,Enewetak,,101593856,73912833,57.88603077,,22.6
AHE08-2_S22_allchrs_DoC.sample_summary:AHE08-2_S22,Enewetak,,101349729,75518924,57.30225638,,22.35
AHE09-1_S7_allchrs_DoC.sample_summary:AHE09-1_S7,Enewetak,,46519767,163300066,22.1712916,,8.47
AHE09-2_S23_allchrs_DoC.sample_summary:AHE09-2_S23,Enewetak,,46331497,177358251,20.71239179,,7.9
AHE10-1_S8_allchrs_DoC.sample_summary:AHE10-1_S8,Enewetak,,25877715,159356711,13.9702514,,4.94
AHE10-2_S24_allchrs_DoC.sample_summary:AHE10-2_S24,Enewetak,,29404903,212946268,12.13317967,,4.84
AHE11-1_S9_allchrs_DoC.sample_summary:AHE11-1_S9,Enewetak,,112978362,101148663,52.76230873,,22.15
AHE11-2_S25_allchrs_DoC.sample_summary:AHE11-2_S25,Enewetak,,171371904,167808458,50.52530252,,30.96
AHE12-1_S10_allchrs_DoC.sample_summary:AHE12-1_S10,Enewetak,,108117058,132202004,44.98896471,,17.52
AHE12-2_S26_allchrs_DoC.sample_summary:AHE12-2_S26,Enewetak,,102238655,126300084,44.73580954,,16.93
